time,open,high,low,close,Volume,Volume MA
1564704000,830,850,822.11,844.94,567.182855,558.5870900220001
1564790400,844.94,855,838,846.50964,257.12248543,541.5205036890001
1564876800,853.99999,858,840,857.99,191.64574335,499.2990110670001
1564963200,849.11025,920,846,889.98861,1130.18386652,486.621971036
1565049600,889.98999,901,860.0001,879.39789,786.98004322,474.4372908810001
1565136000,873.39887,897.99,868,891.9796,382.16469668,444.7181681840001
1565222400,891.96999,898,850,871.00001,408.38673985,437.6071251865002
1565308800,877.99999,879.99979,838,839.11001,666.44120956,449.9354871175002
1565395200,840,892.13,810.80003,827.56385,955.04179137,484.36470733950017
1565481600,830.11,852.30275,827,850.99999,181.42642005,473.90859875800015
1565568000,846.08313,851,835,844.03699,204.13543105,459.4942719570001
1565654400,847.96999,847.96999,820.02,835.00005,376.33068035,452.3230847235001
1565740800,835.00001,849,771.00005,775,1489.88166451,510.865337687
1565827200,774.50001,789,740.00001,769.89945,979.03342313,535.4494016635001
1565913600,769.89999,769.9,745,758.99994,333.94519828,524.9541743005001
1566000000,755.50053,764.73458,745,757.96979,164.6863365,525.5237412275002
1566086400,748.58,792,745.01002,775.36011,343.94785279,533.9443289510001
1566172800,776.00169,823.82,775.35,817.00003,464.90060434,534.5385531895001
1566259200,823.67963,824.99784,790.09001,805,348.0446949,530.413872293
1566345600,803,805.595,750,764.87849,497.22663127,536.4354184075
1566432000,764.86897,800,750.10007,785.0011,533.14509517,534.7335304160001
1566518400,784.2,797.9782,782,791.00111,367.03210063,540.2290111760001
1566604800,792,796.76039,772.37,783.12988,139.21634843,537.6075414300001
1566691200,783.12988,788.16,774,774.99,119.82116554,487.0894063810001
1566777600,774.99005,790,774.00009,784.62949,209.73611103,458.2272097715002
1566864000,778.1,784.85,772,778,178.24416373,448.0311831240002
1566950400,775.88,786.08,720,737.52331,682.01551115,461.71262168900023
1567036800,737.52463,742.94934,702.0031,714.03,599.21133659,458.3511280405002
1567123200,714.0181,724,702.0031,720.99676,381.1678397,429.6574304570002
1567209600,719.99756,720,704,715.00528,135.23947831,427.3480833700002
1567296000,715.0165,720,705,714.01487,95.1716912,421.8998963775002
1567382400,719.98,748.5,714.04,740,379.47156051,422.0569403855003
1567468800,740,750,731.00001,745.18369,266.43262348,360.8844883340003
1567555200,741.00001,745.17393,500,731.39997,747.412635,349.30344892750026
1567641600,729.99999,731.5,710,714.00054,422.65200154,353.7387890905003
1567728000,723.65843,731.62859,685.00002,704.99999,469.0457191,368.95675822050026
1567814400,704.99999,729.68999,701.67173,722.86001,235.79555376,363.54914326900024
1567900800,722.90001,739.96,722.81001,737.86995,359.8379321,358.29600965700024
1567987200,731.81056,744,722.81,744,455.93234499,363.69039216150026
1568073600,735.27571,745.97,726.16,735.79999,267.07346231,352.1827337135002
1568160000,735.57439,739.99,725,734.09975,188.89992557,334.9704752335002
1568246400,726.81761,736,726.05,731.35,142.03877573,323.72080898850027
1568332800,731.52001,740,620,739,395.26419196,336.5232011650003
1568419200,735.37,760,729.00001,756.00001,357.93701512,348.4289936440003
1568505600,756,769,754.0003,764.68137,245.02586261,350.1934812230003
1568592000,767,820,760.00013,803.38,880.25175118,385.2938605955003
1568678400,800.18001,879,798,860,1332.45235885,417.8157029805003
1568764800,858.1,877,800.0542,856.98983,1071.12634316,441.41145330900025
1568851200,856.98,923.9985,826,915,1460.13420281,495.35977146450034
1568937600,912.0302,919,875.00153,893.1203,705.94814542,523.8952048200002
1569024000,899.69,911.99998,895,896.2,198.61573395,529.0674069575003
1569110400,896.2005,903.8387,860,883.43939,290.38966412,524.6133121380004
1569196800,872.93001,894.99962,843,844,497.78148256,536.1807550920005
1569283200,844.05,850.9852,732,750,1255.62022585,561.5911346345003
